comparison,universe_per_side,prefix_targets,suffix_targets,prefix_cutoff,suffix_cutoff,observed_prefix_hits,observed_suffix_hits,observed_total_hits,exact_p_total_hits_ge_observed,exact_p_joint_side_pattern_ge_observed
primary-frozen-v0.2,116,2,4,2,4,1,2,3,0.00026062810,0.00018098442
post-unblinding-universe-matched,49,2,4,2,4,2,2,4,0.000097188151,0.000024565935
