model,side,sign,observed,null_mean,q50,q90,q95,q99,empirical_p,max_sign_p,iterations,candidate_records,eligible_residual_records,strata
N1,prefix,A,6,4.228100,4.000,7.000,7.000,9.000,0.233315,0.259135,50000,471,39,10
N1,prefix,I,4,1.805080,2.000,3.000,4.000,5.000,0.091918,0.857883,50000,471,39,10
N1,suffix,JA,5,2.479920,2.000,4.000,5.000,6.000,0.080098,0.328313,50000,471,43,10
N1,suffix,TI,3,1.640400,2.000,3.000,4.000,5.000,0.214556,0.996800,50000,471,43,10
N2,prefix,A,6,3.874000,4.000,6.000,7.000,8.000,0.161937,0.211356,50000,494,43,91
N2,prefix,I,4,2.260500,2.000,4.000,5.000,6.000,0.170137,0.891902,50000,494,43,91
N2,suffix,JA,5,2.280420,2.000,4.000,5.000,6.000,0.057959,0.518390,50000,494,48,91
N2,suffix,TI,3,1.383400,1.000,3.000,3.000,4.000,0.145517,0.999020,50000,494,48,91
