side,sign,base,variant,status,base_total_attestations,base_secure_attestations,variant_total_attestations,variant_secure_attestations,secure_sites,secure_scribes
prefix,SI,DA-RE,SI-DA-RE,accepted_secure,7,6,2,2,3,3
prefix,SI,I-SI,SI-I-SI,excluded_insecure_variant,2,1,1,0,1,0
prefix,SI,KI-RA,SI-KI-RA,accepted_secure,2,2,1,1,2,3
prefix,SI,MI-TA,SI-MI-TA,excluded_insecure_base,1,0,1,1,1,1
prefix,SI,TE-TU,SI-TE-TU,accepted_secure,3,2,1,1,2,3
prefix,TA,NA-TI,TA-NA-TI,accepted_secure,1,1,4,3,1,2
prefix,TE,JA-RE,TE-JA-RE,accepted_secure,1,1,1,1,2,2
prefix,TI,NI-TA,TI-NI-TA,excluded_insecure_base,1,0,1,1,1,1
prefix,TI,TI-MA,TI-TI-MA,accepted_secure,1,1,1,1,2,0
prefix,TU,RU-SA,TU-RU-SA,accepted_secure,1,1,1,1,2,1
prefix,TU,SU-PU2,TU-SU-PU2,accepted_secure,1,1,1,1,1,1
prefix,U,QE-TI,U-QE-TI,accepted_secure,1,1,1,1,2,1
prefix,WA,JA-PI,WA-JA-PI,excluded_insecure_variant,1,1,1,0,1,1
prefix,WA,O-MI,WA-O-MI,excluded_insecure_base,1,0,1,1,1,0
prefix,WI,DI-NA,WI-DI-NA,accepted_secure,2,1,1,1,2,1
suffix,*118,A-SI,A-SI-*118,excluded_insecure_variant,1,1,1,0,1,0
suffix,*188,SU-PU2,SU-PU2-*188,accepted_secure,1,1,1,1,1,2
suffix,*350,A-TA,A-TA-*350,excluded_insecure_base,1,0,1,1,1,1
suffix,A,I-DA,I-DA-A,accepted_secure,5,2,1,1,3,1
suffix,A,MA-RU,MA-RU-A,excluded_insecure_variant,1,1,1,0,1,1
suffix,DA,I-DA,I-DA-DA,accepted_secure,5,2,1,1,3,1
suffix,DA,PA-TA,PA-TA-DA,excluded_insecure_both,1,0,1,0,0,0
suffix,DE,A-TA,A-TA-DE,excluded_insecure_base,1,0,1,1,1,0
suffix,DE,RA-RI,RA-RI-DE,excluded_insecure_both,1,0,1,0,0,0
suffix,DI,A-PA3,A-PA3-DI,accepted_secure,1,1,1,1,2,0
suffix,DI,SA-RA,SA-RA-DI,excluded_insecure_variant,2,2,1,0,2,0
suffix,DU,MA-SI,MA-SI-DU,excluded_insecure_base,1,0,1,1,1,0
suffix,E,JA-SI,JA-SI-E,accepted_secure,2,1,1,1,2,0
suffix,I,KI-TA,KI-TA-I,accepted_secure,1,1,1,1,1,1
suffix,I,TU-ME,TU-ME-I,accepted_secure,1,1,1,1,1,0
suffix,JA,*306-TU,*306-TU-JA,accepted_secure,4,4,1,1,1,2
suffix,JA,A-MA,A-MA-JA,accepted_secure,3,2,1,1,3,1
suffix,JA,A-RI,A-RI-JA,excluded_insecure_variant,3,2,1,0,1,0
suffix,JA,A-SE,A-SE-JA,accepted_secure,4,4,1,1,2,3
suffix,JA,JA-SA,JA-SA-JA,accepted_secure,4,2,1,1,3,0
suffix,JA,KU-PA,KU-PA-JA,accepted_secure,4,3,1,1,2,1
suffix,JA,PA-SE,PA-SE-JA,accepted_secure,2,2,3,2,1,3
suffix,JA,PU2-RE,PU2-RE-JA,accepted_secure,1,1,1,1,2,0
suffix,JE,A-TA-NA,A-TA-NA-JE,excluded_insecure_base,1,0,1,1,1,0
suffix,JU,A-RA,A-RA-JU,excluded_insecure_base,3,0,1,1,1,1
suffix,JU,KU-RE,KU-RE-JU,excluded_insecure_base,2,0,2,1,1,1
suffix,KI,A-PA,A-PA-KI,excluded_insecure_base,2,0,1,1,1,0
