commentary_id,form,table_occurrences,left_insecure_occurrences,right_insecure_occurrences,any_insecure_occurrences,source_files,evidence
HT62,IB-TI,1,0,1,1,HT62.html,-KU 4 [ .3 ] 1 8 .3 IB-TI-[•] 6 .3 DI[ .4 ] 4
HT62,SA-RA,1,1,0,1,HT62.html,ER FRACTION .1 [•-•]SA-RA • TE • VINA [ .2 ][
HT62[+]73,IB-TI,1,0,1,1,HT62[+]73.html,-KU 4 [ .3 ] 1 8 .3 IB-TI-[•] 6 .3 DI[ .4 ] 4
HT62[+]73,SA-RA,1,1,0,1,HT62[+]73.html,ER FRACTION .1 [•-•]SA-RA • TE • VINA [ .2 ][
HT64,KU-ZU-NA,1,1,1,1,HT64.html,NUMBER FRACTION .1 ]KU-ZU-NA[ .2 ]NA 2 .2 RU-MA[
HT64,RU-MA,1,0,1,1,HT64.html,-ZU-NA[ .2 ]NA 2 .2 RU-MA[ .3 VACAT .4 ] 3 .4
HT66,TA-MI,1,1,1,1,HT66.html,2 ]DI 2 .2 TA-[ .3 ]TA-MI[ .4 ]RE 1 INFRA MUT
HT67,KU-RO,1,1,0,1,HT67.html,LA .1 ] VEST. [ .2 ]KU-RO 4 2 0 [ .3 ] FIC • 
HT69,MA-DI,1,1,0,1,HT69.html,1 ] 5 .1 DI 8 [ .2 ]MA-DI 4 [ .3 ]DI 12 [ INF
HT72,SI-VIR,1,0,1,1,HT72.html, NUMBER FRACTION .1 SI-VIR-[•][ .2 ] VEST. [ I
HT73,IB-TI,1,0,1,1,HT73.html,-KU 4 [ .3 ] 1 8 .3 IB-TI-[•] 6 .3 DI[ .4 ] 4
HT73,SA-RA,1,1,0,1,HT73.html,ER FRACTION .1 [•-•]SA-RA • TE • VINA [ .2 ][
HT74,KU-RO,1,1,0,1,HT74.html,LA .1 ] VEST. [ .2 ]KU-RO 20 [ INFRA MUTILA
HT75,KA-RU,1,0,1,1,HT75.html, NUMBER FRACTION 1. KA-RU[ __________________
HT79,KU-NI,1,1,1,1,HT79.html, [ .2 ]TU-[•] 3 .3 ]KU-NI[ .3 ] ZU 3 INFRA MU
HT79,TU-PA-RI,1,1,0,1,HT79.html, • .1 DA-PA 3 [ .2 ]TU-PA-RI 1 [ .2 ]TU-[•] 3 .3
HT79[+]83,KU-NI,1,1,1,1,HT79[+]83.html, [ .2 ]TU-[•] 3 .3 ]KU-NI[ .3 ] ZU 3 INFRA MU
HT79[+]83,TU-PA-RI,1,1,0,1,HT79[+]83.html, • .1 DA-PA 3 [ .2 ]TU-PA-RI 1 [ .2 ]TU-[•] 3 .3
HT80,JU-RA,1,1,1,1,HT80.html,ON SUPRA MUTILA .1 ]JU-RA[ .2 ] VACAT INFRA M
HT81,RI-SU-MA,1,1,0,1,HT81.html,RU {*550} • H [ .2 ]RI-SU-MA L4 .2 KI[ INFRA MUT
HT83,KU-NI,1,1,1,1,HT83.html, [ .2 ]TU-[•] 3 .3 ]KU-NI[ .3 ] ZU 3 INFRA MU
HT83,TU-PA-RI,1,1,0,1,HT83.html, • .1 DA-PA 3 [ .2 ]TU-PA-RI 1 [ .2 ]TU-[•] 3 .3
HT84,F-JA-DU,1,0,1,1,HT84.html,MBER FRACTION .1 QI F-JA-DU [ .2 ]NU-TI • VIR[ 
HT84,NU-TI,1,1,0,1,HT84.html,.1 QI F-JA-DU [ .2 ]NU-TI • VIR[ .3 ] VEST. [
HT85,KU-RO,1,0,1,1,HT85.html,E 3 A.5 DA-RE 4 A.6 KU-RO[ ] 66 B.1 KI-KI-RA-
HT85,TE-TU,1,0,1,1,HT85.html,KA 1 B.2 PA 1 B.2-3 TE-TU[ ] 1 B.3 KA 1 B.3 D
HT86,A-KA-RU,2,1,0,1,HT86.html, 20 A.6 VACAT B.1 [[A-KA-RU • ]] B.1-2 [[KU-NI-
