side,rank,sign,secure_exact_pairs,excluded_damage_pairs,total_apparent_pairs,secure_examples
suffix,10,NE,4,0,4,*21F-TU ~ *21F-TU-NE | QE-TU ~ QE-TU-NE | PA-TA ~ PA-TA-NE | PA-RA ~ PA-RA-NE
suffix,11,RO,4,0,4,KI-DA ~ KI-DA-RO | SA-MA ~ SA-MA-RO | DI-NA ~ DI-NA-RO | A-DA ~ A-DA-RO
suffix,12,MI,3,0,3,JA-RE ~ JA-RE-MI | MA-I ~ MA-I-MI | I-DA ~ I-DA-MI
suffix,13,PA,3,0,3,KA-KU ~ KA-KU-PA | I-JA ~ I-JA-PA | A-RI ~ A-RI-PA
suffix,14,PA3,3,0,3,KU-PA3 ~ KU-PA3-PA3 | JA-KI ~ JA-KI-PA3 | JA-WA ~ JA-WA-PA3
suffix,15,SA,3,0,3,QA-*118 ~ QA-*118-SA | A-JE ~ A-JE-SA | JA-SA ~ JA-SA-SA
suffix,16,A,2,0,2,I-DA ~ I-DA-A | MA-RU ~ MA-RU-A
suffix,17,DA,2,0,2,PA-TA ~ PA-TA-DA | I-DA ~ I-DA-DA
suffix,18,DE,2,0,2,RA-RI ~ RA-RI-DE | A-TA ~ A-TA-DE
suffix,19,DI,2,0,2,SA-RA ~ SA-RA-DI | A-PA3 ~ A-PA3-DI
suffix,20,I,2,0,2,KI-TA ~ KI-TA-I | TU-ME ~ TU-ME-I
suffix,21,JU,2,0,2,KU-RE ~ KU-RE-JU | A-RA ~ A-RA-JU
suffix,22,MU,2,0,2,KU-RA ~ KU-RA-MU | JA-SA ~ JA-SA-MU
suffix,23,NU,2,0,2,KU-PA3 ~ KU-PA3-NU | U-TI ~ U-TI-NU
suffix,24,QE,2,0,2,KA-PA ~ KA-PA-QE | SA-RO ~ SA-RO-QE
suffix,25,RI,2,0,2,TU-PA ~ TU-PA-RI | KU-PA ~ KU-PA-RI
suffix,26,RU,2,0,2,KA-SA ~ KA-SA-RU | DI-DE ~ DI-DE-RU
suffix,27,SU,2,0,2,KU-NI ~ KU-NI-SU | A-RI ~ A-RI-SU
suffix,28,TU,2,0,2,A-RA ~ A-RA-TU | SI-TE ~ SI-TE-TU
suffix,29,WI,2,0,2,JA-DI ~ JA-DI-WI | PA3-NI ~ PA3-NI-WI
suffix,30,*118,1,0,1,A-SI ~ A-SI-*118
suffix,31,*188,1,0,1,SU-PU2 ~ SU-PU2-*188
suffix,32,*350,1,0,1,A-TA ~ A-TA-*350
suffix,33,DU,1,0,1,MA-SI ~ MA-SI-DU
suffix,34,E,1,0,1,JA-SI ~ JA-SI-E
suffix,35,JE,1,0,1,A-TA-NA ~ A-TA-NA-JE
suffix,36,KI,1,0,1,A-PA ~ A-PA-KI
suffix,37,KU,1,0,1,DA-RE ~ DA-RE-KU
suffix,38,MA,1,0,1,JA-SA-SA-RA ~ JA-SA-SA-RA-MA
suffix,39,NI,1,0,1,MI-DA ~ MI-DA-NI
suffix,40,PI,1,0,1,JA-WA ~ JA-WA-PI
suffix,41,PU2,1,0,1,TU-SU ~ TU-SU-PU2
suffix,42,QA,1,0,1,JA-PA ~ JA-PA-QA
suffix,43,SI,1,0,1,U-NA-KA-NA ~ U-NA-KA-NA-SI
suffix,44,U,1,0,1,DI-NA ~ DI-NA-U
suffix,45,WA,1,0,1,I-NA ~ I-NA-WA
suffix,46,ZA,1,0,1,A-DU ~ A-DU-ZA
suffix,47,ZU,1,0,1,KU-PA ~ KU-PA-ZU
