sign,row
A,a
DA,a
JA,a
KA,a
MA,a
NA,a
PA,a
QA,a
RA,a
SA,a
TA,a
WA,a
ZA,a
E,e
DE,e
JE,e
KE,e
ME,e
NE,e
QE,e
RE,e
SE,e
TE,e
I,i
DI,i
KI,i
MI,i
NI,i
PI,i
QI,i
RI,i
SI,i
TI,i
WI,i
O,o
KO,o
PO,o
RO,o
TO,o
U,u
DU,u
JU,u
KU,u
MU,u
NU,u
PU,u
RU,u
SU,u
TU,u
ZU,u
