stem,depth,terminal,form,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,containment_count,containment_examples
DA-SE,2,RA-TE,DA-SE-RA-TE,1,1,SYME,0,,STONE VESSEL,,,,0,
DI-DI,2,KA-SE,DI-DI-KA-SE,1,1,ZAKROS,0,,CLAY VESSEL,,,,0,
DI-DI,2,ZA-KE,DI-DI-ZA-KE,1,1,HAGHIA TRIADA,1,HT SCRIBE 21,TABLET,,,,0,
DI-DI-KO-RA,2,ME-TA2,DI-DI-KO-RA-ME-TA2,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,0,
DI-RE,2,DI-NA,DI-RE-DI-NA,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
DU-MA,2,I-NA,DU-MA-I-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,0,
DU-MI-TA,2,TI-RA2,DU-MI-TA-TI-RA2,1,1,TROY,0,,STONE OBJECT,,,,0,
DU-RE,2,ZA-SE,DU-RE-ZA-SE,2,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
I-DA,2,MA-TE,I-DA-MA-TE,1,1,ARKHALKHORI,1,AR SCRIBE 1,METAL OBJECT,,,,0,
I-DA-PA3-I,2,SA-RI,I-DA-PA3-I-SA-RI,1,1,PHAISTOS,0,,TABLET,,,,0,
I-DU,2,NE-SI,I-DU-NE-SI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
I-JA,2,PA-ME,I-JA-PA-ME,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,0,
I-KI,2,RU-QE,I-KI-RU-QE,1,1,THERA,0,,TRITON,,,,0,
I-KU,2,RI-NA,I-KU-RI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,0,
I-KU-JU,2,TI-*28B,I-KU-JU-TI-*28B,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,0,
I-KU-PA3-NA-TU,2,NA-TE,I-KU-PA3-NA-TU-NA-TE,1,1,APODOULOU,0,,STONE VESSEL,,,,0,
I-NA-JA,2,PA-QA,I-NA-JA-PA-QA,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
I-NA-TA-I-ZU-DI,2,SI-KA,I-NA-TA-I-ZU-DI-SI-KA,1,1,IOUKTAS,0,,STONE VESSEL,,,,0,
I-PA,2,SA-JA,I-PA-SA-JA,1,1,KHANIA,1,KH SCRIBE 5,TABLET,,,,0,
I-PI,2,NA-MA,I-PI-NA-MA,2,2,KOPHINAS|TROULLOS,0,,STONE VESSEL,,,,0,
I-PI-NA,2,MI-NA,I-PI-NA-MI-NA,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
I-SA,2,RI-KE,I-SA-RI-KE,1,1,PHAISTOS,0,,TABLET,,,,0,
I-TI,2,NI-SA,I-TI-NI-SA,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,0,
I-TI-TI,2,KU-NI,I-TI-TI-KU-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
I-ZU-RI,2,NI-TA,I-ZU-RI-NI-TA,1,1,PHAISTOS,0,,TABLET,,,,0,
JA-DI,2,KI-TU,JA-DI-KI-TU,1,1,IOUKTAS,0,,STONE VESSEL,,,,0,
JA-DI-KI-TE-TE-*307,2,PU2-RE,JA-DI-KI-TE-TE-*307-PU2-RE,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
JA-DI-KI-TE-TE-DU,2,PU2-RE,JA-DI-KI-TE-TE-DU-PU2-RE,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
JA-DU,2,RA-TI,JA-DU-RA-TI,1,1,KNOSSOS,0,,TABLET,,,,0,
JA-I,2,NWA-ZA,JA-I-NWA-ZA,1,1,SYME,0,,STONE VESSEL,,,,0,
JA-KI-SI,2,KI-NU,JA-KI-SI-KI-NU,1,1,ARKHALKHORI,0,,METAL OBJECT,,,,0,
JA-MA,2,U-TI,JA-MA-U-TI,1,1,MALIA,0,,3-SIDED BAR,,,,0,
JA-MI,2,DA-RE,JA-MI-DA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
JA-PA-RA,2,JA-SE,JA-PA-RA-JA-SE,1,1,SYME,0,,STONE VESSEL,,,,0,
JA-SA-RA-A,2,NA-NE,JA-SA-RA-A-NA-NE,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,0,
JA-SA-SA,2,RA-ME,JA-SA-SA-RA-ME,7,5,IOUKTAS|PALAIKASTRO|PLATANOS|PSYKHRO|TROULLOS,1,PS SCRIBE 1,METAL OBJECT|STONE VESSEL,,,,0,
JA-SA-U-NA-KA,2,NA-SI,JA-SA-U-NA-KA-NA-SI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
JA-TA-I-*301,2,U-JA,JA-TA-I-*301-U-JA,1,1,APODOULOU,0,,STONE VESSEL,,,,0,
JA-TI,2,TU-KU,JA-TI-TU-KU,1,1,LARANI,0,,CLAY VESSEL,,,,0,
JU-KU-NA-PA-KU-NU-U,2,I-ZU,JU-KU-NA-PA-KU-NU-U-I-ZU,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,0,
KA-A,2,SI-TE,KA-A-SI-TE,1,1,THERA,0,,CLAY VESSEL,,,,0,
KA-DU,2,MA-NE,KA-DU-MA-NE,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
KA-KU,2,NE-TE,KA-KU-NE-TE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
KA-NA,2,NI-TI,KA-NA-NI-TI,1,1,KHANIA,0,,ROUNDEL,,,,0,
KA-NI,2,JA-MI,KA-NI-JA-MI,1,1,CRETE,0,,METAL OBJECT,,,,0,
KA-RI,2,*310-I,KA-RI-*310-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
KA-SI,2,A-TE,KA-SI-A-TE,1,1,KNOSSOS,0,,ARCHITECTURE,,,,0,
KA-U,2,DE-TA,KA-U-DE-TA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
KA-U,2,ZU-NI,KA-U-ZU-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,0,
KI-DE-MA,2,*323-NA,KI-DE-MA-*323-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,0,
KI-KI,2,RA-JA,KI-KI-RA-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
KI-RE,2,TA-NA,KI-RE-TA-NA,3,1,HAGHIA TRIADA,2,HT SCRIBE 2|HT SCRIBE 6,TABLET,,,,0,
KI-TA,2,NI-TE,KI-TA-NI-TE,1,1,PALAIKASTRO,0,,CLAY VESSEL,,,,0,
KO-SA,2,I-TI,KO-SA-I-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
KU-KU,2,DA-RA,KU-KU-DA-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
KU-MI,2,NA-QE,KU-MI-NA-QE,1,1,HAGHIA TRIADA,0,,ROUNDEL,,,,0,
KU-PA3,2,NA-TU,KU-PA3-NA-TU,2,1,HAGHIA TRIADA,2,HT SCRIBE 14|HT SCRIBE 9,TABLET,,,,1,I-KU-PA3-NA-TU-NA-TE
KU-PA3,2,RI-JA,KU-PA3-RI-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
KU-TU,2,KO-RE,KU-TU-KO-RE,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,0,
MA-KA,2,I-SE,MA-KA-I-SE,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,0,
MA-KA,2,I-TA,MA-KA-I-TA,2,2,PALAIKASTRO|ZAKROS,1,ZA SCRIBE 1,TABLET,,,,0,
MA-KA,2,RI-TE,MA-KA-RI-TE,2,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
MA-KI,2,DE-TE,MA-KI-DE-TE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
MA-RI,2,RE-I,MA-RI-RE-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
MA-TI-ZA,2,I-TE,MA-TI-ZA-I-TE,1,1,PALAIKASTRO,0,,TABLET,,,,0,
MI-DA,2,MA-RA2,MI-DA-MA-RA2,1,1,ARKHALKHORI,0,,METAL OBJECT,,,,0,
MI-KI,2,SE-NA,MI-KI-SE-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,0,
MI-RU-TA,2,RA-RE,MI-RU-TA-RA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
NA-*21F-NE,2,MI-NA,NA-*21F-NE-MI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
NA-MA-MA-TI,2,TI-*904,NA-MA-MA-TI-TI-*904,1,1,HAGHIA TRIADA,0,,GRAFFITO,,,,0,
NA-TU,2,*301-NE,NA-TU-*301-NE,1,1,SKOTEINO CAVE,0,,INKED INSCRIPTION,,,,0,
O-KA-MI-ZA-SI,2,I-NA,O-KA-MI-ZA-SI-I-NA,1,1,PALAIKASTRO,0,,TABLET,,,,0,
O-RA2,2,DI-NE,O-RA2-DI-NE,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
