candidate,eligible_tokens,documents,distinct_types,effective_token_weight,candidate_total_occurrences,candidate_terminal_occurrences,candidate_internal_occurrences,candidate_documents,delta_ll,bootstrap_seed,ci99_lo,ci99_hi,confirmatory_recovered,robustness_100_seed_ci99_lo_min,robustness_100_seed_ci99_lo_max,robustness_100_seed_ci99_hi_min,robustness_100_seed_ci99_hi_max,robustness_all_100_same_significance
TI,554,211,374,457.0,38,20,18,27,-0.569710002306872,1658152892276090999,-3.6314667141572063,2.019441547321657,False,-3.8753530213574723,-3.0971334073072097,1.7106852434461444,2.217729438994784,True
JA,554,211,374,457.0,37,19,18,33,0.9006954427946179,12343059748333133810,-3.0356564523887886,4.820957920424381,False,-3.5069318223986143,-2.630762184087403,4.213185780089921,5.212870991087129,True
