rate,recovered,replicates,power_hat,power_ci95_lo,power_ci95_hi,mean_injected,mean_delta_ll,min_ci99_lo
0.02,12,20,0.6,0.36054258730748967,0.8088099392746928,11.9,1.7040686230743933,-0.1861684641042651
0.05,20,20,1.0,0.8315665290169146,1.0,25.2,4.881286646412791,0.0810964592974078
0.1,20,20,1.0,0.8315665290169146,1.0,55.7,13.41057295571241,4.624480371208884
0.2,20,20,1.0,0.8315665290169146,1.0,110.9,34.279411218373426,16.412820443863527
