seed,n_flagged,delta_ll,ci99_lo,ci99_hi,false_positive
70000,50,0.048751461971521914,-2.9478106438745857,2.5228308498705574,False
70001,59,-0.48208580820597635,-1.7029600404129086,0.6004151810540088,False
70002,42,-0.708603935939407,-1.206743661930222,-0.2957739675114632,False
70003,55,0.35014701872272036,-3.487747625893656,3.6286018992086198,False
70004,51,-0.4683218459963264,-1.032279719629774,-0.1224174336084421,False
70005,57,-0.13647886582534852,-4.2041441210304065,2.963943864918147,False
70006,43,-0.526344558254711,-3.1377134416344896,1.3681046726517547,False
70007,48,1.2010333563563893,-1.957803978504824,4.2587627603797245,False
70008,58,-0.9363690784938441,-2.4250060461207337,0.3369998407285883,False
70009,46,-0.7215928016885439,-1.46490680968865,-0.2004678706614167,False
70010,61,-0.8243035251741294,-1.8902196025696043,0.18446581554195643,False
70011,52,-0.4998368230206586,-3.645448155108441,2.068736021773447,False
70012,64,-0.9287550586698485,-1.5938448339351228,-0.40052564416193187,False
70013,44,-0.9981692228777682,-2.5041688804014197,0.14798666059985555,False
70014,50,-0.650783456961023,-2.755362293406024,1.116076947029475,False
70015,53,-0.8337797090732282,-2.125443901760083,0.13529211768537705,False
70016,52,-0.32519965629244973,-4.511129002192267,3.3238928439461812,False
70017,58,-0.8584924676568686,-1.3617407257142364,-0.4134452994415823,False
70018,59,-0.3589918741374008,-2.9861098216987334,2.1719831322751375,False
70019,56,6.173864179774962,-3.2063231494322557,13.353760560915768,False
