side,sign,base,variant,status,base_total_attestations,base_secure_attestations,variant_total_attestations,variant_secure_attestations,secure_sites,secure_scribes,warning_classes,exclusion_classes
suffix,*350,A-TA,A-TA-*350,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,A,I-DA,I-DA-A,accepted_secure,5,2,1,1,3,1,,physical_boundary
suffix,A,MA-RU,MA-RU-A,excluded_structural_variant,1,1,1,0,1,1,,physical_boundary
suffix,DA,I-DA,I-DA-DA,accepted_secure,5,2,1,1,3,1,,physical_boundary
suffix,DA,PA-TA,PA-TA-DA,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,DE,A-TA,A-TA-DE,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,DE,RA-RI,RA-RI-DE,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,DI,A-PA3,A-PA3-DI,accepted_secure,1,1,1,1,2,0,,
suffix,DI,SA-RA,SA-RA-DI,excluded_structural_both,2,0,1,0,0,0,,non_linear_a_script|physical_boundary
suffix,DU,MA-SI,MA-SI-DU,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,E,JA-SI,JA-SI-E,accepted_secure,2,1,1,1,2,0,,physical_boundary
suffix,I,KI-TA,KI-TA-I,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,I,TU-ME,TU-ME-I,excluded_structural_base,1,0,1,1,1,0,,editorial_continuation
suffix,JA,*306-TU,*306-TU-JA,accepted_secure,4,4,1,1,1,2,designation_or_onomastic,
suffix,JA,A-MA,A-MA-JA,accepted_secure,3,2,1,1,3,1,,physical_boundary
suffix,JA,A-RI,A-RI-JA,excluded_structural_variant,3,2,1,0,1,0,,physical_boundary
suffix,JA,A-SE,A-SE-JA,accepted_secure,4,4,1,1,2,3,,
suffix,JA,JA-SA,JA-SA-JA,excluded_structural_base,4,0,1,1,1,0,,editorial_continuation|non_linear_a_script|physical_boundary
suffix,JA,KU-PA,KU-PA-JA,accepted_secure,4,3,1,1,2,1,,physical_boundary
suffix,JA,PA-SE,PA-SE-JA,accepted_secure,2,2,3,2,1,3,,physical_boundary
suffix,JA,PU2-RE,PU2-RE-JA,excluded_structural_both,1,0,1,0,0,0,,authoritative_source_boundary
suffix,JE,A-TA-NA,A-TA-NA-JE,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,JU,A-RA,A-RA-JU,excluded_structural_base,3,0,1,1,1,1,,physical_boundary
suffix,JU,KU-RE,KU-RE-JU,excluded_structural_base,2,0,2,1,1,1,,physical_boundary
suffix,KI,A-PA,A-PA-KI,excluded_structural_base,2,0,1,1,1,0,,physical_boundary
suffix,KU,DA-RE,DA-RE-KU,excluded_structural_variant,7,7,1,0,3,2,,physical_boundary
suffix,MA,JA-SA-SA-RA,JA-SA-SA-RA-MA,excluded_structural_both,1,0,1,0,0,0,,editorial_continuation
suffix,ME,A-RA-TU,A-RA-TU-ME,accepted_secure,1,1,1,1,2,0,,
suffix,ME,A-SA-SA-RA,A-SA-SA-RA-ME,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,ME,I-JA-PA,I-JA-PA-ME,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,ME,JA-SA-SA-RA,JA-SA-SA-RA-ME,excluded_structural_base,1,0,7,7,5,1,,editorial_continuation
suffix,ME,MA-RU,MA-RU-ME,excluded_structural_variant,1,1,3,0,1,1,,complex_logogram
suffix,ME,SA-RA,SA-RA-ME,excluded_structural_both,2,0,1,0,0,0,,editorial_continuation|non_linear_a_script|physical_boundary
suffix,MI,I-DA,I-DA-MI,accepted_secure,5,2,1,1,3,1,,physical_boundary
suffix,MI,JA-RE,JA-RE-MI,accepted_secure,1,1,1,1,2,2,,
suffix,MI,MA-I,MA-I-MI,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,MU,JA-SA,JA-SA-MU,excluded_structural_base,4,0,1,1,1,1,,editorial_continuation|non_linear_a_script|physical_boundary
suffix,MU,KU-RA,KU-RA-MU,accepted_secure,2,2,1,1,3,3,,
suffix,NA,*118-MI,*118-MI-NA,excluded_structural_variant,1,1,1,0,1,1,,physical_boundary
suffix,NA,A-TA,A-TA-NA,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,NA,DA-KU,DA-KU-NA,accepted_secure,1,1,1,1,2,1,,
suffix,NA,NE-MI,NE-MI-NA,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,NA,PA3-NI,PA3-NI-NA,accepted_secure,2,2,3,3,1,2,,
suffix,NA,U-NA-KA,U-NA-KA-NA,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,NE,*21F-TU,*21F-TU-NE,accepted_secure,1,1,3,3,1,2,,
suffix,NE,PA-RA,PA-RA-NE,accepted_secure,2,2,2,2,2,2,onomastic,
suffix,NE,PA-TA,PA-TA-NE,excluded_structural_base,1,0,3,3,1,1,,physical_boundary
suffix,NE,QE-TU,QE-TU-NE,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,NI,MI-DA,MI-DA-NI,accepted_secure,1,1,1,1,1,2,,
suffix,NU,KU-PA3,KU-PA3-NU,accepted_secure,1,1,8,8,2,4,,
suffix,NU,U-TI,U-TI-NU,excluded_structural_variant,1,1,1,0,1,0,,physical_boundary
suffix,PA,A-RI,A-RI-PA,accepted_secure,3,2,1,1,2,0,,physical_boundary
suffix,PA,I-JA,I-JA-PA,excluded_structural_variant,2,1,1,0,1,0,,physical_boundary
suffix,PA,KA-KU,KA-KU-PA,accepted_secure,1,1,3,3,1,2,,
suffix,PA3,JA-KI,JA-KI-PA3,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,PA3,JA-WA,JA-WA-PA3,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,PA3,KU-PA3,KU-PA3-PA3,accepted_secure,1,1,1,1,1,2,,
suffix,PI,JA-WA,JA-WA-PI,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,PU2,TU-SU,TU-SU-PU2,accepted_secure,1,1,1,1,2,0,,
suffix,QA,JA-PA,JA-PA-QA,excluded_structural_variant,1,1,1,0,1,1,,physical_boundary
suffix,QE,KA-PA,KA-PA-QE,accepted_secure,6,5,1,1,1,4,,physical_boundary
suffix,QE,SA-RO,SA-RO-QE,excluded_structural_variant,4,4,1,0,1,1,,physical_boundary
suffix,RA,A-DA,A-DA-RA,accepted_secure,1,1,1,1,2,0,,
suffix,RA,A-RU,A-RU-RA,excluded_structural_variant,2,2,1,0,1,0,,physical_boundary
suffix,RA,I-KI,I-KI-RA,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,RA,JA-SA-SA,JA-SA-SA-RA,excluded_structural_both,1,0,1,0,0,0,,editorial_continuation|physical_boundary
suffix,RA,MI-DA,MI-DA-RA,accepted_secure,1,1,1,1,2,1,,
suffix,RA,SA-RA,SA-RA-RA,excluded_structural_base,2,0,1,1,1,1,,non_linear_a_script|physical_boundary
suffix,RE,A-DU,A-DU-RE,excluded_structural_variant,10,7,1,0,1,5,,physical_boundary
suffix,RE,A-TA,A-TA-RE,excluded_structural_base,1,0,1,1,1,1,,physical_boundary
suffix,RE,DU-RA,DU-RA-RE,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,RE,KI-*310,KI-*310-RE,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,RE,PA-JA,PA-JA-RE,accepted_secure,1,1,4,4,2,4,onomastic,
suffix,RE,TE-JA,TE-JA-RE,excluded_structural_base,1,0,1,1,1,1,onomastic,physical_boundary
suffix,RI,KU-PA,KU-PA-RI,accepted_secure,4,3,1,1,3,1,,physical_boundary
suffix,RI,TU-PA,TU-PA-RI,excluded_structural_both,1,0,1,0,0,0,,physical_boundary
suffix,RO,A-DA,A-DA-RO,accepted_secure,1,1,1,1,2,0,,
suffix,RO,DI-NA,DI-NA-RO,excluded_structural_base,2,0,1,1,1,1,,physical_boundary
suffix,RO,KI-DA,KI-DA-RO,excluded_structural_base,1,0,2,1,1,1,,physical_boundary
suffix,RO,SA-MA,SA-MA-RO,accepted_secure,4,4,1,1,2,3,onomastic_or_designation,
suffix,RU,DI-DE,DI-DE-RU,excluded_structural_base,1,0,3,3,1,1,,physical_boundary
suffix,RU,KA-SA,KA-SA-RU,excluded_structural_base,1,0,1,1,1,0,,physical_boundary
suffix,SA,A-JE,A-JE-SA,accepted_secure,1,1,1,1,2,0,,
suffix,SA,JA-SA,JA-SA-SA,excluded_structural_both,4,0,1,0,0,0,,editorial_continuation|non_linear_a_script|physical_boundary
suffix,SA,QA-*118,QA-*118-SA,accepted_secure,1,1,1,1,2,1,,
suffix,SE,*188-DU,*188-DU-SE,excluded_structural_variant,3,3,1,0,1,2,,physical_boundary
suffix,SE,DI-KI,DI-KI-SE,excluded_structural_base,1,0,2,2,1,1,,physical_boundary
suffix,SE,DU-RE-ZA,DU-RE-ZA-SE,excluded_structural_base,1,0,3,2,1,1,,physical_boundary
suffix,SE,RU-MA-TA,RU-MA-TA-SE,accepted_secure,2,2,1,1,2,2,,
suffix,SE,TU-ME,TU-ME-SE,excluded_structural_both,1,0,1,0,0,0,,editorial_continuation|physical_boundary
