commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
HT100,VIR-*313A,1,0,0,1,0,0,complex_logogram,VIR+*313A {*570}
HT100,VIR-KA,1,0,0,1,0,0,complex_logogram,]VIR+KA {*568}
HT101,DI-QE,1,0,0,1,0,0,complex_logogram,DI +QE {506}
HT101,GRA-QE,1,0,0,1,0,0,complex_logogram,GRA+QE {*578}
HT101,OLE-KI,2,0,0,2,0,0,complex_logogram,OLE+KI {* 618 } || OLE+KI {*618}
HT101,OLE-MI,1,0,0,1,0,0,complex_logogram,OLE+MI {*622}
HT101,OLE-U,2,0,0,2,0,0,complex_logogram,OLE+U {*610} || ] OLE +U {*610}
HT101,OLIV-TU,1,0,0,1,0,0,complex_logogram,OLIV+TU {*587}
HT102,GRA-PA,1,0,0,1,0,0,complex_logogram,GRA+PA {*574}
HT102,VIR-GRA-PA,1,0,0,1,0,0,complex_logogram,]VIR GRA+PA {*574}
HT103,DA-KU-SE-NE,1,1,0,0,0,0,physical_boundary,FIC 40 .2 PA 3 .2 DA-KU-SE-NE[ ] 6 J .3 *188 13
HT104,TE-RO,1,0,0,1,0,0,complex_logogram,• TE+RO {*505} •
HT105,KA-PA,1,1,0,0,0,0,physical_boundary,UMBER FRACTION .1 KA-PA[ .1 ] VEST. [ .2
HT108,GRA-H,1,0,0,1,0,0,complex_logogram,GRA+H {*583}
HT11,A-RU-RA,1,1,0,0,0,0,physical_boundary,ER FRACTION A.1-2 A-RU-RA-[•] ]3 A.2 KA-RO-
HT11,DE-NU,1,1,0,0,0,0,physical_boundary,A.5 TA 2 15 B.1 ] DE-NU B.1 RU-RA 2 B.2 *
HT110,*303-E,1,0,0,1,0,0,complex_logogram,*303+ E {*626}
HT110,*400V-AS-RI,1,0,0,1,0,0,complex_logogram,*400VAS+ RI {*648}
HT111,QA-QA-RU,1,1,0,0,0,0,physical_boundary,A.2 QA-SA-[ A.3 ] QA-QA-RU 8 A.3 DI 1 4 [ A.
