injection_rate,recovered,replicates,power_estimate,power_ci95_lower,power_ci95_upper,mean_injected_tokens,min_injected_tokens,max_injected_tokens,mean_delta_ll,min_delta_ll,max_delta_ll,mean_ci99_lower_delta_ll,min_ci99_lower_delta_ll
0.02,20,20,1.0,0.8315665290169146,1.0,16.0,10,21,3.102975320280131,1.439661345046272,5.7599333950227525,0.8868579980188128,0.07155756456322898
0.05,20,20,1.0,0.8315665290169146,1.0,39.3,26,49,9.507811,6.389431,14.424764,4.429957,2.129679
0.1,20,20,1.0,0.8315665290169146,1.0,83.9,67,103,26.13334,21.039369,34.561308,15.75432,12.028981
0.2,20,20,1.0,0.8315665290169146,1.0,162.75,144,194,58.223526,48.716444,78.325693,39.361145,32.346027
