side,rank,sign,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs,pair_sites,pair_scribes,pair_attestations,examples
prefix,60,RO,0.892692,5,7,-0.503549,1,2,0,2,SI-RA ~ RO-SI-RA
prefix,61,PO,0.886962,4,3,0.306480,0,0,0,0,
prefix,62,WA,0.835219,10,23,-1.218361,2,3,2,4,JA-PI ~ WA-JA-PI | O-MI ~ WA-O-MI
prefix,63,TI,0.689611,13,35,-1.450949,2,3,1,4,NI-TA ~ TI-NI-TA | TI-MA ~ TI-TI-MA
prefix,64,KO,0.645749,6,6,-0.056090,0,0,0,0,
prefix,65,RE,0.610423,16,35,-1.161443,1,4,0,4,A-JA ~ RE-A-JA
prefix,66,*118,0.604724,2,3,-0.541516,1,2,0,2,MI-NA ~ *118-MI-NA
prefix,67,PU₂,0.541834,3,5,-0.708166,1,3,0,3,RE-JA ~ PU₂-RE-JA
prefix,68,MU,0.443910,3,3,-0.056090,0,0,0,0,
prefix,69,NE,0.407265,5,10,-0.988975,1,2,1,2,MI-NA ~ NE-MI-NA
prefix,70,ZU,0.378464,9,12,-0.452018,0,0,0,0,
prefix,71,*323,0.340151,2,2,-0.056090,0,0,0,0,
prefix,72,PA₃,0.234430,11,17,-0.661811,0,0,0,0,
prefix,73,*164,0.193910,1,1,-0.056090,0,0,0,0,
prefix,74,NU,0.044399,9,26,-1.536083,1,2,0,2,RI-JA ~ NU-RI-JA
prefix,75,SE,-0.008368,10,18,-0.873226,0,0,0,0,
prefix,76,RU,-0.055919,16,33,-1.077785,0,0,0,0,
prefix,77,*22M,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,78,*304,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,79,*308,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,80,*321,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,81,*329,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,82,*331,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,83,*344,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,84,*345,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,85,*350,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,86,*351,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,87,*353,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,88,*354,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,89,*361,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,90,*362,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,91,*516,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,92,*82,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,93,*904,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,94,RA,-0.075097,13,44,-1.776936,1,2,2,2,MA-SI ~ RA-MA-SI
prefix,95,RI,-0.244918,12,45,-1.920028,1,1,2,2,RU-MA ~ RI-RU-MA
prefix,96,DE,-0.257180,7,14,-1.007180,0,0,0,0,
prefix,97,SU,-0.335232,9,20,-1.165714,0,0,0,0,
prefix,98,ME,-0.393145,4,8,-0.973627,0,0,0,0,
prefix,99,RA₂,-0.655625,3,7,-1.155625,0,0,0,0,
prefix,100,TO,-0.996662,3,9,-1.496662,0,0,0,0,
prefix,101,*314,-1.028482,1,3,-1.278482,0,0,0,0,
prefix,102,*34,-1.038361,2,6,-1.434601,0,0,0,0,
prefix,103,NA,-1.101841,9,79,-3.121045,2,5,2,10,DA-RE ~ NA-DA-RE | A-PA₃ ~ NA-A-PA₃
prefix,104,*301,-1.145664,6,22,-1.847503,0,0,0,0,
prefix,105,NI,-1.584549,6,30,-2.286387,0,0,0,0,
prefix,106,*22F,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,107,*307,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,108,*342,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,109,*349,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,110,*49,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,111,*802,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,112,NWA,-1.641052,0,1,-1.641052,0,0,0,0,
prefix,113,JU,-1.861483,2,11,-2.257723,0,0,0,0,
prefix,114,ZA,-1.981777,2,12,-2.378018,0,0,0,0,
prefix,115,*325,-3.226015,0,4,-3.226015,0,0,0,0,
prefix,116,*310,-3.962980,0,7,-3.962980,0,0,0,0,
suffix,1,RO,6.649032,78,7,3.331641,4,5,7,13,KI-DA ~ KI-DA-RO | SA-MA ~ SA-MA-RO | DI-NA ~ DI-NA-RO | A-DA ~ A-DA-RO
suffix,2,JA,4.977149,63,28,1.099705,8,10,8,35,PA-SE ~ PA-SE-JA | A-SE ~ A-SE-JA | *306-TU ~ *306-TU-JA | KU-PA ~ KU-PA-JA | A-MA ~ A-MA-JA | JA-SA ~ JA-SA-JA | A-RI ~ A-RI-JA | PU₂-RE ~ PU₂-RE-JA
suffix,3,ME,4.878606,26,8,1.584368,6,9,3,21,MA-RU ~ MA-RU-ME | A-RA-TU ~ A-RA-TU-ME | JA-SA-SA-RA ~ JA-SA-SA-RA-ME | A-SA-SA-RA ~ A-SA-SA-RA-ME | SA-RA ~ SA-RA-ME | I-JA-PA ~ I-JA-PA-ME
suffix,4,TE,4.869416,55,21,1.312061,6,12,1,20,DU-RI ~ DU-RI-TE | SI-RU ~ SI-RU-TE | KU-NI ~ KU-NI-TE | I-JA ~ I-JA-TE | A-DI-KI-TE ~ A-DI-KI-TE-TE | A-TA-NA ~ A-TA-NA-TE
suffix,5,NE,4.735267,35,10,1.701340,4,3,4,14,*21F-TU ~ *21F-TU-NE | QE-TU ~ QE-TU-NE | PA-TA ~ PA-TA-NE | PA-RA ~ PA-RA-NE
suffix,6,WI,4.427614,8,1,2.446411,2,4,2,5,JA-DI ~ JA-DI-WI | PA₃-NI ~ PA₃-NI-WI
suffix,7,RE,4.240705,58,35,0.664528,6,7,11,24,PA-JA ~ PA-JA-RE | KI-*310 ~ KI-*310-RE | TE-JA ~ TE-JA-RE | A-DU ~ A-DU-RE | DU-RA ~ DU-RA-RE | A-TA ~ A-TA-RE
suffix,8,*118,4.058320,17,3,2.265838,1,2,0,2,A-SI ~ A-SI-*118
suffix,9,JE,3.988892,8,1,2.446411,1,2,0,2,A-TA-NA ~ A-TA-NA-JE
suffix,10,SE,3.900459,31,18,0.711737,5,5,8,16,DI-KI ~ DI-KI-SE | *188-DU ~ *188-DU-SE | TU-ME ~ TU-ME-SE | DU-RE-ZA ~ DU-RE-ZA-SE | RU-MA-TA ~ RU-MA-TA-SE
suffix,11,TI,3.698981,47,35,0.364019,5,6,5,14,SA-MA ~ SA-MA-TI | DA-KU-SE-NE ~ DA-KU-SE-NE-TI | JA-KU ~ JA-KU-TI | RI-RU-MA ~ RI-RU-MA-TI | QA-KI ~ QA-KI-TI
suffix,12,*321,3.694317,4,0,3.113835,0,0,0,0,
suffix,13,RA₂,3.671283,39,7,2.340801,0,0,0,0,
suffix,14,TA₂,3.616123,10,1,2.751265,0,0,0,0,
suffix,15,RA,3.577283,48,44,0.068090,6,6,3,14,A-RU ~ A-RU-RA | I-KI ~ I-KI-RA | SA-RA ~ SA-RA-RA | JA-SA-SA ~ JA-SA-SA-RA | A-DA ~ A-DA-RA | MI-DA ~ MI-DA-RA
suffix,16,*188,3.412079,2,0,2.265838,1,1,2,2,SU-PU₂ ~ SU-PU₂-*188
suffix,17,*306,3.251265,3,0,2.751265,0,0,0,0,
suffix,18,E,3.143731,10,3,1.528873,1,3,0,3,JA-SI ~ JA-SI-E
suffix,19,NA,2.950068,54,79,-0.600788,6,8,5,15,PA₃-NI ~ PA₃-NI-NA | DA-KU ~ DA-KU-NA | NE-MI ~ NE-MI-NA | *118-MI ~ *118-MI-NA | U-NA-KA ~ U-NA-KA-NA | A-TA ~ A-TA-NA
suffix,20,JU,2.780835,17,11,0.549631,2,3,4,8,KU-RE ~ KU-RE-JU | A-RA ~ A-RA-JU
suffix,21,MU,2.727556,6,3,0.836995,2,7,4,8,KU-RA ~ KU-RA-MU | JA-SA ~ JA-SA-MU
